Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
50,"[  5.48207374   6.5194       8.7478     -28.           1.
   1.        ]",[0.2006438  0.85967547 0.26938879],0.010712749777777808,,,0.0020053386688232
51,[36.36588788  9.0529      3.0653     19.          2.          2.        ],[0.477197   0.32517221 0.25649106],0.6970197306666667,,,0.0010008811950683
52,"[  5.48207374   7.7422       3.1909     -23.           0.
   2.        ]",[0.63359881 0.80455954 0.83514305],0.010712749777777808,,,0.002004861831665
53,[ 6.5884  1.9045  6.6944 -3.      1.      0.    ],[0.32105093 0.82594476 0.27304528],0.03529777777777776,,,0.0009899139404296
54,"[  5.48207374   8.6287       1.0124     -15.           1.
   0.        ]",[0.7486844  0.73666351 0.63056346],0.010712749777777808,,,0.0010006427764892
55,[ 5.48207374  3.4105      0.7357     13.          0.          2.        ],[0.79307728 0.57491411 0.66319973],0.010712749777777808,,,0.0030622482299804
56,[ 5.48207374  5.7452      7.5497     10.          0.          0.        ],[0.32462844 0.56063845 0.19935299],0.010712749777777808,,,0.0019917488098144
57,[23.64902323  4.683       3.32       11.          2.          1.        ],[0.48488827 0.57162128 0.45021334],0.41442273844444444,,,0.0020608901977539
58,"[ 10.47798485   1.6257       6.9492     -10.           2.
   0.        ]",[0.25213128 0.75964053 0.30100211],0.1217329966666667,,,0.0020112991333007
59,"[  5.93624747   2.0845       1.7084     -16.           0.
   1.        ]",[0.72189251 0.78027011 0.70198871],0.02080549933333331,,,0.0010356903076171
60,[24.55737071  4.7054      7.4763     20.          2.          2.        ],[0.20564367 0.51877326 0.18728983],0.43460823800000004,,,0.0009770393371582
61,[ 5.48207374  3.536       9.0134     -5.          1.          2.        ],[0.1890952  0.79818776 0.1745689 ],0.010712749777777808,,,0.0022244453430175
62,[35.91171414  2.8721      1.1768     18.          2.          0.        ],[0.60732106 0.70204808 0.49885304],0.6869269808888889,,,0.0009922981262207
63,[5.48207374 6.8044     6.5393     0.         1.         2.        ],[0.34725344 0.84350066 0.30762437],0.010712749777777808,,,0.0010075569152832
64,[20.46980707  0.8088      1.2359     21.          2.          1.        ],[0.64696347 0.69300734 0.5449744 ],0.3437734904444446,,,0.002002477645874
65,[5.48207374 8.3327     6.9233     3.         0.         1.        ],[0.37044259 0.55505498 0.22822827],0.010712749777777808,,,0.0022571086883544
66,"[  5.48207374   7.1818       3.9794     -20.           0.
   2.        ]",[0.57510333 0.82568608 0.77237533],0.010712749777777808,,,0.0010004043579101
