,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
34,"[ 18.30954061   9.4888       5.9504     -12.           0.
   0.        ]",[0.39621365 0.41864787 0.31690619],314.8703406117626,,,0.31334686279296875
35,"[  5.25427248   8.017        6.5016     -12.           0.
   2.        ]",[0.39008858 0.83830054 0.43383797],302.73567247527194,,,0.3146181106567383
36,[24.46444574  4.371       5.237       5.          2.          1.        ],[0.3347227  0.60320557 0.3751323 ],309.8564457364422,,,0.3958323001861572
37,"[  7.68139629   6.2744       2.4524     -26.           2.
   1.        ]",[0.58952546 0.80046735 0.64997722],324.95459629356503,,,0.3208611011505127
38,[35.47871195  6.4141      4.7993      1.          1.          0.        ],[0.37844093 0.83076862 0.35266753],323.26531195236566,,,0.32802891731262207
39,[16.33017824  9.9431      0.5694     19.          0.          0.        ],[0.79619001 0.20420249 0.20700686],286.817678237344,,,0.3124232292175293
40,[14.25664658  0.425       7.9749     30.          0.          0.        ],[0.26729369 0.61495431 0.32805109],275.8567465788053,,,0.32735443115234375
41,"[ 35.92752013   6.9451       4.7311     -11.           1.
   0.        ]",[0.37653231 0.79975    0.28208963],335.251320125911,,,0.32242441177368164
42,[ 5.4313523  9.4288     5.6242    14.         0.         2.       ],[0.47678185 0.2010317  0.27125926],276.3783523010217,,,0.3198089599609375
43,[36.09555181  6.9793      4.7537     -3.          2.          1.        ],[0.33500775 0.79743939 0.33573641],327.36255181214256,,,0.3128032684326172
44,"[ 35.43837052   6.5907       5.3119     -29.           0.
   0.        ]",[0.36715774 0.8844866  0.39216227],352.5357705169305,,,0.3142685890197754
45,[23.86774908  1.9762      4.9544     11.          1.          0.        ],[0.39772836 0.6601576  0.33898126],305.9371490823613,,,0.34132981300354004
46,"[ 23.53840446   8.0831       8.0673     -19.           2.
   2.        ]",[0.17169216 0.68916597 0.27373508],326.3880044556106,,,0.3440415859222412
47,[49.09807703  9.4655      6.0232     28.          2.          1.        ],[0.24005431 0.25877672 0.15494722],305.609377031141,,,0.33542466163635254
48,[5.28134025 9.7084     8.2421     4.         1.         0.        ],[0.25147009 0.30092521 0.10239446],283.3308402538614,,,0.333817720413208
49,[37.94528364  3.8883      1.0201     28.          2.          1.        ],[0.61905136 0.7147598  0.34974057],305.03688363814933,,,0.3299088478088379
50,"[ 31.73226761   6.5194       8.7478     -28.           1.
   1.        ]",[0.147904   0.79210626 0.18458656],344.46506760815953,,,0.3205986022949219
51,[36.51834844  9.0529      3.0653     19.          2.          2.        ],[0.47666256 0.32517221 0.25785535],305.4001484389445,,,0.32384252548217773
52,"[  5.53222468   7.7422       3.1909     -23.           0.
   2.        ]",[0.6334352  0.80455954 0.83412136],317.59912468319374,,,0.31786036491394043
53,[ 7.19920492  1.9045      6.6944     -3.          1.          0.        ],[0.31918294 0.82594476 0.27323758],301.60030491693465,,,0.32087206840515137
54,"[  7.42455779   8.6287       1.0124     -15.           1.
   0.        ]",[0.74351386 0.55907088 0.58695651],312.7834577923301,,,0.32376861572265625
