cruise speed,illuminance,req_0
2.7565,70.0643,True
1.6219,93.5093,True
0.895,19.9414,True
3.2913,85.7781,True
0.0086,61.1882,True
3.1553,21.0134,False
0.0633,48.7477,True
0.8964,34.0456,True
0.213,71.3866,True
0.7728,21.7828,True
0.563,55.0123,True
2.0666,35.5195,True
3.9655,89.1834,True
4.9142,78.1985,True
1.5679,69.3661,True
4.6928,57.2449,False
2.0102,86.4083,True
3.9169,0.6429,False
2.7164,31.2473,True
4.7869,63.5667,True
2.7604,5.5641,False
1.7332,43.3098,True
0.8095,81.749,True
2.6538,96.0915,True
2.8547,32.0221,False
4.6512,64.942,True
3.9263,3.0803,False
3.5385,2.4668,False
4.9127,7.1569,False
2.9035,14.3448,False
4.6111,66.6336,True
4.1026,23.861,False
3.2931,64.7637,True
3.1522,63.8828,True
2.6758,5.0301,False
1.3407,33.2213,True
2.7323,39.4966,True
2.711,63.913,True
0.2678,46.4895,True
1.9476,83.2041,True
1.6604,80.5519,True
3.2462,92.8599,True
0.729,95.8466,True
1.5881,6.3908,True
1.8316,15.1437,True
4.2615,67.4508,True
2.9053,11.9936,False
0.2605,94.0721,True
2.2366,7.7397,False
1.0747,77.5685,True
4.9907,49.3549,False
4.3162,35.9072,True
1.1159,11.397,True
1.7095,43.8991,True
3.1711,5.8466,False
2.6457,96.3207,True
2.804,75.4749,True
3.4009,42.4547,True
0.4335,5.8295,False
4.3379,93.4231,True
3.5908,14.7094,False
3.501,57.049,True
2.3088,24.4834,False
3.126,67.9498,True
2.8647,65.8979,True
3.4759,25.1854,True
4.1621,80.1795,False
1.4469,74.3497,True
3.803,16.4134,False
0.6549,28.6206,True
2.3372,57.3443,True
1.07,35.1117,True
3.5657,29.5264,False
1.0438,24.4063,True
3.8229,21.0342,False
4.2456,54.0156,True
2.0546,93.8032,True
0.855,53.9658,True
1.4246,16.9511,True
4.8149,34.4102,True
1.3971,32.4235,True
0.499,91.5408,True
1.6437,58.2221,True
1.4997,95.0123,True
3.9761,47.9626,True
2.2189,80.5993,True
0.4756,44.7272,True
2.3488,94.5611,False
4.6101,14.4344,False
0.5885,26.6439,True
0.3512,93.5909,True
0.7653,54.324,True
3.1117,87.5767,True
1.4995,7.9784,True
0.1172,93.4701,True
1.7528,50.4124,True
2.7743,82.7475,True
3.5721,3.0368,False
1.6206,5.8511,True
3.2631,88.3561,False
4.5718,81.8606,False
4.5942,31.5763,True
4.8984,32.773,True
1.4608,89.296,True
1.6833,24.3258,True
4.3254,6.1563,False
1.311,20.8979,True
1.1927,55.1177,True
3.9442,23.1734,False
1.9831,61.0896,True
1.5981,20.2559,True
3.5143,39.302,False
1.0651,99.3111,True
2.7833,98.766,True
3.2544,79.9614,False
0.6679,28.534,True
0.9669,66.4397,True
2.5475,43.8636,True
0.1114,8.4158,False
1.0532,81.0674,True
1.6248,24.2302,True
3.1009,59.6525,True
3.6573,45.0354,True
2.2897,89.2742,True
4.4938,50.7726,True
2.5939,94.9535,False
3.7385,74.5657,True
3.4003,18.5878,True
2.5074,8.4224,False
2.9546,47.3373,True
0.8172,56.8702,True
3.7011,79.1881,True
4.3319,14.5235,False
1.9916,31.8408,True
4.1506,26.2157,True
2.9517,31.4871,False
3.9138,89.0819,True
4.1323,40.5565,True
1.8319,99.5192,True
1.0218,39.9725,True
0.0824,26.6605,True
1.9943,53.2074,True
1.9567,82.1528,True
2.1489,64.1324,True
2.6091,59.224,False
4.9364,58.6828,True
1.7132,80.7446,True
3.5825,29.6939,True
4.5783,24.7934,True
3.7346,48.3046,True
0.8213,91.205,True
4.0619,86.7993,True
2.3169,92.1817,True
1.989,1.9747,True
3.9782,34.5403,False
1.5513,47.8908,True
0.6018,18.8622,True
2.2384,14.6085,True
3.5851,44.2052,True
4.7365,87.5066,True
1.3627,79.3476,True
2.8775,98.3163,False
2.5486,12.6308,False
0.7443,22.2584,True
4.7758,72.1795,True
3.1033,43.8587,True
0.4901,3.1566,False
4.3415,1.4147,False
4.7844,18.6499,False
2.3547,14.9591,False
0.6791,12.2571,True
3.9138,87.6419,True
4.0772,63.0587,False
0.8985,31.3074,True
0.2182,13.797,True
3.6302,34.2747,True
3.6261,54.7959,True
1.1224,22.1211,True
0.7976,48.1184,True
4.744,57.5574,True
0.6323,20.5066,True
1.6069,32.3544,True
1.5813,1.2495,False
1.7248,60.6663,True
2.0767,86.5414,True
3.9698,91.2895,True
3.6935,7.7149,True
2.5308,9.6318,False
2.5277,24.8591,False
2.8806,45.8582,True
0.4837,27.2177,True
3.2881,18.6512,False
3.2672,27.2046,True
4.1855,71.9924,False
4.3994,29.9834,True
1.9318,84.4406,True
3.3124,12.1359,False
3.8819,94.6255,False
2.9019,2.8367,False
0.9359,0.7309,True
3.1824,83.6472,True
4.4016,46.7024,True
2.3338,60.5451,True
0.1003,67.7022,True
3.845,33.2815,True
0.3179,71.8603,True
3.9203,74.3958,True
0.9874,51.7803,True
1.4457,38.2313,True
1.8085,27.7388,True
3.5502,28.811,False
4.8973,98.8298,True
1.7243,13.4472,False
2.1531,19.1236,True
3.9944,80.4563,True
3.923,99.7307,True
0.338,83.6216,True
4.9737,7.5317,False
0.8051,34.2163,True
4.8682,91.1155,False
4.7621,25.21,False
4.1728,51.6718,True
0.7801,61.7193,True
0.7311,22.9559,True
4.0623,40.3833,True
3.7843,37.0236,False
1.8562,18.0419,False
2.9772,51.2016,True
0.7675,80.6648,True
0.1456,25.3998,True
3.4767,94.1077,False
1.5981,16.2186,False
4.8228,12.7067,False
4.7906,54.1507,True
3.0998,68.1479,True
2.6115,39.0936,False
4.2313,29.4968,True
4.8961,81.7038,True
2.9101,77.7045,False
2.7346,97.4507,True
3.0863,10.6344,False
3.5441,92.7474,True
3.463,80.5778,True
1.7149,67.4392,True
3.0373,41.8211,False
2.5455,24.5797,True
3.557,84.6783,True
3.664,66.1734,True
4.5774,48.912,False
3.4619,58.7476,True
4.961,97.1896,True
0.1589,12.3188,True
3.8186,90.5745,False
3.193,81.9167,True
4.8642,25.5283,True
1.4824,63.2899,True
1.1896,24.5641,True
4.3664,31.7811,False
4.2761,41.8301,False
1.0586,2.5704,False
3.6777,57.101,True
0.9668,18.192,True
1.6278,36.2422,True
0.138,86.5511,True
1.5,19.1683,True
3.332,36.6871,True
0.3132,97.7694,True
2.7251,55.9256,False
0.2243,99.8448,True
0.139,39.3429,True
3.9602,85.3201,False
3.0675,33.6672,True
4.2035,22.084,False
1.9415,94.2247,True
1.1415,39.3069,True
3.6507,22.0653,False
0.4655,97.9189,True
3.0797,1.2081,False
3.612,81.0426,True
3.4798,89.2821,False
1.6044,44.9818,True
1.7097,89.1115,True
1.7724,66.9651,True
1.2265,74.5812,True
4.4373,30.1941,True
3.1826,97.9075,True
2.3884,91.6332,False
3.1138,47.2243,True
3.769,46.7811,True
0.4842,4.457,False
2.7544,18.0903,True
0.7733,69.9345,True
1.7903,44.2163,True
0.3126,2.7697,True
3.3823,12.7958,False
2.7669,1.5985,False
0.3637,0.6568,True
0.6642,0.4486,True
0.727,46.1923,True
3.2666,74.8838,False
2.9765,13.1049,False
4.8602,9.6114,False
2.8614,12.3877,False
2.5855,70.7218,False
1.4533,44.8022,True
4.0443,16.5753,False
1.325,23.0842,True
0.3255,63.234,True
3.3912,0.7135,False
0.7375,38.3412,True
1.4632,73.2139,True
1.1448,82.4354,True
1.9527,27.4097,True
3.4793,5.6683,False
2.1414,78.2906,True
4.933,20.4409,False
3.4097,85.5134,False
2.2313,83.9427,True
2.905,2.9144,False
2.1339,7.3867,False
4.7108,83.4487,True
1.2303,78.4008,True
3.1948,41.3771,True
0.4378,45.6938,True
3.4095,79.5875,False
4.3761,78.1252,True
0.1927,61.5549,True
2.8074,24.3967,False
0.0635,9.1538,True
2.8736,8.4085,False
3.2585,17.0702,True
1.6666,29.9363,True
1.0942,62.6051,True
4.7787,45.6872,True
1.6345,88.3985,True
0.433,10.8002,True
0.4312,11.6555,True
2.6747,27.9051,False
0.883,45.7209,True
2.9439,26.7003,True
3.1357,50.0342,True
3.928,50.3975,False
3.119,42.8274,False
4.5467,86.3093,True
2.0461,1.8828,True
3.9836,32.7518,False
