Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
34,"[88.24534551 85.24954687 41.38151191 63.78326858 81.         53.4866
 25.5871     96.7233      1.        ]",[0.0841155  0.00405049 0.04477201 0.29466879],0.494577545375,142.1405232017049,,0.0019440650939941,91.30058866813832
35,"[52.32725754 54.29512022 98.18292735 20.58541805 65.         62.7183
 42.6459     39.865       0.        ]",[0.5769065  0.18508419 0.01585123 0.19897213],0.44815947980000004,92.33567879073482,,0.0019736289978027,116.8883788354675
36,"[89.92792156 72.45757096 78.43684804 93.72937079 37.         58.9547
 54.8968     38.7333      1.        ]",[0.40806173 0.02225834 0.17255722 0.16281125],0.363260329425,129.01086005760106,,0.0019967555999755,38.34698507462687
37,"[82.04321144  9.77112083 26.31229456 24.65823509 37.         85.3993
 99.8589     84.4792      1.        ]",[2.43846632e-02 9.69723177e-03 3.55821321e-05 1.33766341e-02],0.8032539023999999,303.99876802332307,,0.0019938945770263,38.09565945234964
38,"[31.60556876 51.98257022 92.47426829 20.60603406 27.         10.0443
 72.3038     62.2536      1.        ]",[0.95681831 0.21587717 0.98499262 0.73786623],0.41635674047500004,146.23990326253738,,0.0020015239715576,114.51149493746276
39,"[14.87843033 58.06406171 81.35607133 95.96522352 11.         30.744
 16.739      94.5851      1.        ]",[0.549614   0.21246962 0.99028933 0.8856289 ],0.19873268442500003,72.29302022446774,,0.0009920597076416,37.82263878875271
40,"[59.30204482 56.29507667  8.81984901 39.71617592 26.         14.0409
 48.8787     34.3611      1.        ]",[0.21352057 0.04572032 0.01539477 0.26343947],0.6361773580500001,237.27088968510824,,0.000941514968872,83.44087110660926
41,"[61.5599664  22.50159712 29.08170366 56.87108379 91.         31.7301
 71.8311     41.8239      0.        ]",[0.29108755 0.57812884 0.02583363 0.10612486],0.632763954575,212.5629929373204,,0.0010018348693847,20.94859590671109
42,"[70.00435761 60.7370744  40.14818404 29.15014263 71.         48.8888
 49.0062     41.9591      0.        ]",[0.41537342 0.16027272 0.0016609  0.11231772],0.59992239135,173.22130402307587,,0.0019512176513671,51.00708699902248
43,"[ 4.63694235 69.52528546  9.69143579 58.32794003 37.         46.8805
 53.9955     53.2629      1.        ]",[0.24011467 0.05598244 0.05517012 0.32697807],0.417730702675,150.79900935615993,,0.001000165939331,70.44624553039333
44,"[53.88833493 76.39594985 88.46458404  6.87015314 21.         94.8766
 71.2743     47.2309      1.        ]",[0.13320066 0.03280187 0.00227062 0.02470299],0.45539411975,146.69218426399993,,0.0010020732879638,40.920295027361405
45,"[50.58288229 87.90744963 61.20948979 14.41575079  3.          9.0848
 68.2962     51.4503      1.        ]",[0.2053456  0.04251742 0.00749643 0.09709245],0.46762548019999994,147.529585007114,,0.0019209384918212,48.65073848827107
46,"[6.71612382e+01 9.05278492e+01 5.57356037e-02 7.33465179e+01
 8.80000000e+01 5.65751000e+01 9.15174000e+01 6.31102000e+01
 1.00000000e+00]",[0.17420561 0.03151604 0.02897515 0.73612517],0.5080778387407501,185.9186102407473,,0.0020008087158203,62.23605815061964
47,"[13.64854095 18.51522148 34.09175437  7.52307351 26.          1.6778
 89.1919     65.3763      0.        ]",[0.14910819 0.03785981 0.00028377 0.01030945],0.6337962289750001,235.19857542313912,,0.0020010471343994,14.492910758965804
48,"[85.41356175 42.13536491 40.56009746 51.0435621  82.          7.31
 69.8751     49.6013      0.        ]",[0.1472283  0.03770499 0.01322288 0.09087834],0.6291863432,215.1822181004139,,0.0009987354278564,135.6376223442349
49,"[16.2236568   8.64857426 85.89658749 16.6947453   1.         87.0757
 24.7988     30.4402      0.        ]",[0.00186217 0.00285099 0.00018626 0.00542828],0.5124593743749999,-23.381111867991905,,0.0020012855529785,40.219204193471526
50,"[56.05869607 31.0716437  14.10937021 61.12421568 94.         36.3196
 47.4128     30.174       1.        ]",[0.6006867  0.05535137 0.16802934 0.46484811],0.6243836662,222.41328162644783,,0.0020051002502441,82.81260404280619
51,"[43.65227422 47.22215381 18.60884647 18.4398824  43.          7.0674
 35.4758     25.5403      1.        ]",[0.85818667 0.04598702 0.35338023 0.43163221],0.64845347885,163.3017976033808,,0.0020010471343994,29.209579411414275
52,"[93.82836746 75.36228435 88.7174441  61.97549743 82.         60.9555
 87.7245     36.7579      1.        ]",[0.10846084 0.04068648 0.02482165 0.08727815],0.4194328539500001,152.46061632387864,,0.0020105838775634,40.54618759634768
53,"[80.15591025 27.61217374  1.99820037 92.00762153 59.         42.5395
  4.4627     26.6783      1.        ]",[0.01418575 0.01645126 0.03796896 0.10331029],0.646344786525,228.1280661227312,,0.0009474754333496,150.9718168092602
54,"[93.05384108 81.25975439 73.58995345 44.87900238 99.         80.504
 20.1676     46.9617      0.        ]",[0.0349643  0.04476286 0.0028725  0.03554619],0.48331282715,145.70412681186488,,0.0009918212890625,27.223557692307693
55,"[19.4671157  60.18771364 10.0654296  81.22528896 48.         62.3778
 92.0233     27.9015      0.        ]",[7.96478937e-02 3.32808063e-01 1.18150827e-04 8.16005385e-02],0.41997170875,147.68589057974668,,0.0020756721496582,127.78658396508156
56,"[95.70346023 30.25521123  2.19846253 77.53759629 90.         21.8105
 16.4744     34.2149      0.        ]",[0.00672293 0.01015475 0.00155842 0.01120528],0.7142804754500001,256.27256694963273,,0.0010004043579101,40.50357483317445
57,"[55.73926207 93.54074134  5.20047318 75.16769247 60.         28.2301
 80.153       8.6693      0.        ]",[0.05002133 0.04021043 0.00020501 0.03844001],0.4545758877,165.57776113983903,,0.0019419193267822,160.2693677102517
58,"[ 3.54366527 53.94612631 55.9548215  16.09883321 62.         24.2833
 49.5006     81.4286      1.        ]",[0.95681831 0.1523693  0.63081074 0.70881396],0.44385971062500007,144.13403575463477,,0.0010147094726562,326.35079887218046
59,"[ 2.34494313 33.14187258 42.80249873  8.37061086 71.         28.6194
 80.3802     14.1559      1.        ]",[0.93966113 0.05195493 0.01393511 0.12072392],0.5450749024,199.77736701515352,,0.0010030269622802,396.513667696696
