Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
47,"[   0.            5.27899388    0.            2.92184736   16.95588523
 1316.2269105    10.        ]","[0.12834516 0.56       0.999957   0.94703339 0.86322293 0.42
 0.94703339 0.94386722 0.94386722 0.94386722 0.5012283  0.26482312]",239.21364342915274,,,857.2627370357513
48,"[0.00000000e+00 5.27382744e+00 0.00000000e+00 1.00000000e+00
 2.20000000e+01 3.32917113e+03 4.80000000e+01]","[0.36743725 0.23       0.99991267 0.92734887 0.11979102 0.31
 0.92734887 0.94137154 0.94137154 0.94137154 0.07284691 0.36729848]",202.2329130019324,,,905.6841275691986
49,"[0.00000000e+00 5.27991112e+00 0.00000000e+00 3.06756606e+00
 1.27297358e+01 3.76125979e+03 5.00000000e+00]","[0.51315749 0.41       0.99995702 0.99236019 0.90521943 0.3
 0.99236019 0.96953357 0.96953357 0.96953357 0.18938507 0.24102143]",231.96772407677446,,,856.5596888065338
50,"[0.00000000e+00 5.27382744e+00 0.00000000e+00 1.00000000e+00
 2.20000000e+01 3.32917113e+03 6.00000000e+00]","[0.55510251 0.3        0.99994703 0.97963193 0.23917771 0.23
 0.97963193 0.97438194 0.97438194 0.97438194 0.09758153 0.15577569]",202.2329130019324,,,757.9617836475372
51,"[   0.            5.28263025    0.            2.           16.
 1904.4077126    21.        ]","[0.79287721 0.4        0.999957   0.93738239 0.90041909 0.43
 0.93738239 0.93365727 0.93365727 0.93365727 0.52242355 0.24433101]",205.8456120817317,,,915.4202344417572
52,"[0.00000000e+00 5.27156394e+00 0.00000000e+00 2.00000000e+00
 3.00000000e+00 2.71590867e+03 2.20000000e+01]","[0.44284323 0.31       0.9999167  0.97728315 0.91238495 0.27
 0.97728315 0.97446088 0.97446088 0.97446088 0.19447685 0.35676457]",151.38005283693792,,,852.7899072170258
53,"[0.00000000e+00 5.28830357e+00 0.00000000e+00 1.00000000e+00
 9.00000000e+00 1.39951344e+03 1.40000000e+01]","[0.20164576 0.32       0.99996637 0.95342304 0.90105889 0.31
 0.95342304 0.96410413 0.96410413 0.96410413 0.41546581 0.19387342]",140.79550281850612,,,910.533509492874
54,"[0.00000000e+00 5.28292450e+00 0.00000000e+00 1.00000000e+00
 9.00000000e+00 1.68442792e+03 1.90000000e+01]","[0.15337881 0.34       0.99996637 0.95342304 0.88732094 0.29
 0.95342304 0.95154514 0.95154514 0.95154514 0.40931579 0.28847409]",141.51409927833515,,,894.0603065490723
55,"[0.00000000e+00 5.27776063e+00 0.00000000e+00 2.30055860e+00
 1.29908674e+01 2.48917550e+03 4.50000000e+01]","[0.17442495 0.34       0.99995702 0.96919915 0.8052436  0.29
 0.96919915 0.95725746 0.95725746 0.95725746 0.19110747 0.37887207]",204.2696300696395,,,894.0344853401184
56,"[0.00000000e+00 5.27613399e+00 0.00000000e+00 3.00996979e+00
 2.00697885e+01 3.89980628e+03 6.80000000e+01]","[0.69290003 0.45       0.99996688 0.98307678 0.83313848 0.35
 0.98307678 0.94263828 0.94263828 0.94263828 0.16276875 0.47322816]",262.3079748068376,,,896.8098037242889
57,"[   0.            5.28265143    0.            3.           19.
 2154.51142388    7.        ]","[0.3455838  0.47       0.999957   0.98258051 0.90521943 0.35
 0.98258051 0.96110474 0.96110474 0.96110474 0.4219857  0.85532268]",252.86376230998582,,,865.6898789405823
58,"[0.00000000e+00 5.28335737e+00 0.00000000e+00 3.00000000e+00
 3.00000000e+00 3.32818609e+03 6.70000000e+01]","[0.30223378 0.35       0.99995462 0.98626109 0.78041498 0.25
 0.98626109 0.95601681 0.95601681 0.95601681 0.1340108  0.47510417]",186.3095358950576,,,919.788494348526
59,"[0.00000000e+00 5.25136270e+00 0.00000000e+00 3.00000000e+00
 1.60000000e+01 3.57179805e+03 9.40000000e+01]","[0.82061704 0.53       0.99998798 0.99999702 0.98959656 0.51
 0.99999702 0.99999857 0.99999857 0.99999857 0.48344905 0.58020043]",243.38482181010778,,,964.9685113430024
60,"[0.00000000e+00 5.25329088e+00 0.00000000e+00 1.99643313e+00
 1.50142675e+01 3.60366442e+03 9.50000000e+01]","[0.81726493 0.45       0.99999055 0.99999726 0.98723223 0.54
 0.99999726 0.99999917 0.99999917 0.99999917 0.48344905 0.45470851]",205.73279281731703,,,959.437879562378
61,"[0.00000000e+00 5.27280696e+00 0.00000000e+00 1.00000000e+00
 2.00000000e+01 3.75710497e+03 8.50000000e+01]","[0.58998192 0.27       0.99996798 0.95890553 0.83606134 0.3
 0.95890553 0.90662747 0.90662747 0.90662747 0.40041733 0.55595006]",194.63225935109625,,,967.5505435466766
62,"[0.00000000e+00 5.28335737e+00 0.00000000e+00 3.00000000e+00
 3.00000000e+00 3.32818609e+03 7.20000000e+01]","[0.29641153 0.31       0.99995462 0.98626109 0.78867464 0.22
 0.98626109 0.94039239 0.94039239 0.94039239 0.1340108  0.47510417]",186.3095358950576,,,954.759712934494
63,"[0.00000000e+00 5.28682069e+00 0.00000000e+00 2.00000000e+00
 1.40439278e+01 2.28706953e+03 2.90000000e+01]","[0.4760417  0.34       0.99995702 0.9591958  0.8052436  0.3
 0.9591958  0.94708917 0.94708917 0.94708917 0.26979957 0.43226946]",198.3314465786696,,,856.1459107398987
64,"[0.00000000e+00 5.28500191e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+00 2.19682756e+03 5.50000000e+01]","[0.1887611  0.36       0.99995595 0.96982354 0.77638137 0.3
 0.96982354 0.96123861 0.96123861 0.96123861 0.19599289 0.27986803]",174.7166189467855,,,957.7026107311248
65,"[0.00000000e+00 5.28500191e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+00 2.19682756e+03 4.00000000e+00]","[0.44355018 0.39       0.99992915 0.99180985 0.86611568 0.27
 0.99180985 0.98326187 0.98326187 0.98326187 0.25455921 0.35272398]",174.7166189467855,,,821.1214776039124
66,"[0.00000000e+00 5.27464151e+00 0.00000000e+00 2.98968427e+00
 1.99381056e+01 3.84129086e+03 2.30000000e+01]","[0.75739007 0.3        0.999957   0.95643258 0.80165892 0.25
 0.95643258 0.95749176 0.95749176 0.95749176 0.22124224 0.34212909]",260.9059002983277,,,919.329649925232
67,"[0.00000000e+00 5.27260863e+00 0.00000000e+00 2.00000000e+00
 1.90000000e+01 2.79116018e+03 4.60000000e+01]","[0.15852636 0.33       0.999957   0.9524684  0.8052436  0.33
 0.9524684  0.94137154 0.94137154 0.94137154 0.16964228 0.45545382]",221.1405443513192,,,907.528299331665
68,"[0.00000000e+00 5.26949786e+00 0.00000000e+00 2.00000000e+00
 1.51778904e+01 2.79197737e+03 7.10000000e+01]","[0.29171489 0.43       0.99997401 0.97120354 0.82496228 0.3
 0.97120354 0.91927235 0.91927235 0.91927235 0.10016774 0.37887207]",204.51785906198438,,,969.5661728382112
69,"[   0.            5.26984145    0.            2.           10.
 1362.53910271   44.        ]","[0.06364763 0.38       0.9999727  0.96173177 0.75898627 0.33
 0.96173177 0.95154514 0.95154514 0.95154514 0.5650702  0.21731602]",178.3408293124113,,,930.2796339988708
70,"[   0.            5.28265143    0.            3.           19.
 2154.51142388   36.        ]","[0.27471888 0.41       0.999957   0.93738239 0.8052436  0.3
 0.93738239 0.91252186 0.91252186 0.91252186 0.23756551 0.71376718]",252.86376230998582,,,871.9748604297638
71,"[0.00000000e+00 5.28799575e+00 0.00000000e+00 2.00000000e+00
 3.00000000e+00 3.18177092e+03 6.70000000e+01]","[0.31839167 0.33       0.99996439 0.98626109 0.78041498 0.29
 0.98626109 0.96702326 0.96702326 0.96702326 0.1340108  0.47510417]",152.61108656001483,,,895.2254285812378
72,"[0.00000000e+00 5.27517072e+00 0.00000000e+00 1.00447745e+00
 2.09708965e+01 2.16724799e+03 7.60000000e+01]","[0.21960296 0.4        0.99996798 0.90507626 0.80813537 0.45
 0.90507626 0.87670359 0.87670359 0.87670359 0.14451965 0.41909894]",194.93149325589002,,,959.1663992404938
73,"[0.00000000e+00 5.28335737e+00 0.00000000e+00 3.00000000e+00
 3.00000000e+00 3.32818609e+03 1.50000000e+01]","[0.42475974 0.35       0.9999167  0.97728315 0.91238495 0.25
 0.97728315 0.9747989  0.9747989  0.9747989  0.18929931 0.48640504]",186.3095358950576,,,873.2851719856262
