formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_9
1.0,28.7062,0.0,2.0,22.0,1032.3835,9.0,False
1.0,34.9466,1.0,3.0,12.0,18312.337,3.0,False
0.0,33.0678,1.0,3.0,18.0,16601.2247,87.0,False
0.0,10.1988,0.0,2.0,17.0,32980.1039,21.0,False
1.0,48.1122,0.0,3.0,5.0,38309.9708,14.0,False
1.0,37.2775,1.0,3.0,15.0,33688.3411,42.0,False
1.0,24.6592,0.0,4.0,10.0,6872.8289,100.0,False
0.0,29.1901,1.0,4.0,1.0,27998.7755,64.0,False
1.0,21.3898,1.0,2.0,19.0,6027.0902,18.0,False
1.0,32.788,0.0,2.0,11.0,19892.971,100.0,False
1.0,24.4432,1.0,3.0,16.0,19639.8512,44.0,False
1.0,14.1508,0.0,3.0,0.0,19012.1975,68.0,False
0.0,43.9996,1.0,1.0,1.0,22412.1506,54.0,False
0.0,12.8366,1.0,4.0,5.0,35769.7729,34.0,False
0.0,40.0395,0.0,2.0,18.0,15777.7362,3.0,False
0.0,10.6035,0.0,3.0,4.0,37378.2592,65.0,False
0.0,20.2254,0.0,3.0,4.0,13510.4341,76.0,False
0.0,28.8747,1.0,3.0,10.0,14534.0514,55.0,False
0.0,43.6787,1.0,2.0,21.0,20622.3392,75.0,False
0.0,8.0644,1.0,4.0,13.0,22863.8423,86.0,False
0.0,16.5312,0.0,4.0,19.0,29675.3577,26.0,False
0.0,16.91,0.0,2.0,22.0,1521.8916,74.0,False
1.0,36.3966,1.0,2.0,10.0,16612.9346,56.0,False
0.0,47.7328,1.0,3.0,10.0,26155.6385,3.0,False
1.0,7.7081,1.0,3.0,11.0,12766.1861,43.0,False
1.0,18.8736,0.0,2.0,11.0,4788.1886,41.0,False
1.0,13.8302,0.0,3.0,13.0,34930.2512,24.0,False
1.0,17.5817,1.0,3.0,3.0,7685.743,43.0,False
1.0,19.5495,0.0,1.0,12.0,17581.3704,46.0,False
0.0,25.5957,0.0,4.0,22.0,10459.0025,92.0,False
0.0,32.4166,1.0,3.0,2.0,13646.7511,66.0,False
1.0,11.192,1.0,4.0,2.0,22739.9449,70.0,False
0.0,43.6514,1.0,3.0,1.0,21421.3346,52.0,False
1.0,11.9791,0.0,3.0,15.0,5984.5634,48.0,False
0.0,27.9046,1.0,1.0,19.0,15204.5133,93.0,False
0.0,32.1438,1.0,3.0,16.0,14311.7868,67.0,False
1.0,11.789,0.0,4.0,22.0,15918.7649,49.0,False
0.0,24.0202,1.0,3.0,14.0,29326.6268,85.0,False
