Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
13,"[1.00000000e+00 3.01482875e+01 1.00000000e+00 2.00000000e+00
 2.00000000e+00 3.42170099e+04 8.90000000e+01]","[0.58128417 0.69181637 1.         0.40900028 0.70762304 0.78194925
 0.41567514 0.62265066 0.47492083 0.63221916 0.66769898 0.84      ]",155.88508333333334,-25.66686123282176,,0.0295989513397216,6.983422877717545
14,"[1.00000000e+00 3.08284617e+01 0.00000000e+00 1.00000000e+00
 1.20000000e+01 2.92952851e+04 4.00000000e+01]","[0.78270677 0.77233381 1.         0.57496979 0.75916515 0.77625671
 0.58926879 0.71110448 0.63147496 0.71867711 0.88658911 0.87      ]",257.39658155555554,-25.80126174431109,,0.0305495262145996,6.624002996862659
15,"[1.00000000e+00 4.63150942e+01 1.00000000e+00 1.00000000e+00
 1.80000000e+01 3.87629413e+04 6.40000000e+01]","[0.48195592 0.83583197 1.         0.24816633 0.81391351 0.82446364
 0.28180035 0.6730913  0.38607955 0.78913291 0.96769941 0.87      ]",191.81132044444445,-0.9533043365991888,,0.0286293029785156,5.709218854097268
16,"[0.00000000e+00 2.16869673e+01 1.00000000e+00 2.00000000e+00
 1.60000000e+01 1.78289630e+03 3.20000000e+01]","[0.37092794 0.70283069 1.         0.2743108  0.6971135  0.71305906
 0.26883645 0.6080195  0.27241142 0.57875469 0.92041659 0.82      ]",37.08214955555559,-18.65976734050525,,0.0184543132781982,6.462088032763588
17,"[0.00000000e+00 3.28055443e+01 0.00000000e+00 2.00000000e+00
 1.40000000e+01 2.53075699e+04 6.70000000e+01]","[0.80700033 0.73180094 1.         0.59345758 0.72381129 0.78030543
 0.56739326 0.74787373 0.59206283 0.74183777 0.73369408 0.9       ]",161.79009844444445,-28.778344316876822,,0.0287542343139648,7.633652283506351
18,"[0.00000000e+00 3.66366478e+01 0.00000000e+00 2.00000000e+00
 5.00000000e+00 1.08261176e+04 6.80000000e+01]","[0.86395292 0.76431932 1.         0.60349119 0.66783385 0.78443951
 0.59806222 0.7672334  0.63512113 0.77437152 0.93889123 0.88      ]",170.3036617777778,-32.60944775680366,,0.0184166431427001,33.32734804841737
19,"[1.00000000e+00 3.33773348e+01 0.00000000e+00 4.00000000e+00
 4.00000000e+00 2.32563587e+04 8.70000000e+01]","[0.83037972 0.68926439 1.         0.62078387 0.69257338 0.72475138
 0.61234557 0.70462098 0.65951859 0.67720577 0.89687794 0.84      ]",263.060744,-27.35013483450166,,0.0194604396820068,10.344804773164428
20,"[1.00000000e+00 1.24286959e+01 1.00000000e+00 1.00000000e+00
 1.80000000e+01 3.58522946e+04 8.10000000e+01]","[0.4124399  0.69032585 1.         0.23155072 0.72642747 0.72280047
 0.23381008 0.64341816 0.29041576 0.64907329 0.86953783 0.87      ]",116.5082131111111,-8.401495900570694,,0.0183045864105224,6.527059589710192
21,"[1.00000000e+00 7.11517195e+00 1.00000000e+00 4.00000000e+00
 8.00000000e+00 3.39268310e+03 8.50000000e+01]","[0.72970906 0.7881277  1.         0.57926681 0.79004163 0.87767037
 0.58683533 0.81979391 0.64938583 0.83738153 0.83482808 0.85      ]",104.70038211111111,-1.6337456904471424,,0.0294923782348632,5.549902991107518
22,"[1.00000000e+00 4.26900924e+01 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.62445212e+04 9.00000000e+01]","[0.86961375 0.69946849 1.         0.55651899 0.70526239 0.79839717
 0.57501388 0.80694333 0.66507934 0.74596371 0.92788565 0.94      ]",283.75576088888886,-36.20866610567021,,0.028968334197998,6.274036641372159
