Model,Memory Peak (MB),Time
XGBClassifier,1.128499984741211,4.138549566268921
XGBClassifier,1.2098522186279297,4.020609378814697
XGBClassifier,1.2117271423339844,3.9043691158294678
XGBClassifier,1.1965980529785156,4.458337783813477
XGBClassifier,1.2221174240112305,4.401212692260742
GradientBoostingClassifier,1.1811246871948242,5.696089029312134
LogisticRegression,0.5305910110473633,0.4057927131652832
GradientBoostingClassifier,0.5883798599243164,1.0605502128601074
NeuralNetwork,2.6940317153930664,0.7673602104187012
LogisticRegression,0.5320291519165039,0.41866016387939453
GradientBoostingClassifier,0.5876607894897461,1.0855906009674072
LogisticRegression,0.6233749389648438,0.5451099872589111
LogisticRegression,0.5264978408813477,0.4013681411743164
LogisticRegression,0.5856828689575195,0.38605260848999023
NeuralNetwork,2.6890573501586914,0.7683181762695312
