Model,Memory Peak (MB),Time
GradientBoostingClassifier,0.8391332626342773,0.21151232719421387
GradientBoostingClassifier,0.841517448425293,0.18137121200561523
XGBClassifier,1.8099555969238281,1.7141685485839844
GradientBoostingClassifier,0.9386796951293945,0.21332907676696777
GradientBoostingClassifier,0.8462352752685547,0.21719980239868164
GradientBoostingClassifier,0.8513879776000977,0.17722320556640625
XGBClassifier,1.835693359375,0.2356874942779541
GradientBoostingClassifier,0.9601373672485352,0.21074509620666504
GradientBoostingClassifier,0.71356201171875,0.19429922103881836
GradientBoostingClassifier,0.7189979553222656,0.1688699722290039
NeuralNetwork,511.97265625,6285
GradientBoostingClassifier,0.7205638885498047,0.44459080696105957
GradientBoostingClassifier,0.7216358184814453,0.14166879653930664
GradientBoostingClassifier,0.7216300964355469,0.1470322608947754
GradientBoostingClassifier,0.7224035263061523,0.1489114761352539
GradientBoostingClassifier,0.7230615615844727,0.15339183807373047
GradientBoostingClassifier,0.723362922668457,0.15329766273498535
GradientBoostingClassifier,0.7243757247924805,0.1522982120513916
XGBClassifier,2.1564626693725586,0.2489302158355713
RandomForestClassifier,10.312459945678711,36.417330741882324
GradientBoostingClassifier,0.7132406234741211,0.19144725799560547
RandomForestClassifier,5.813327789306641,15.323544025421143
GradientBoostingClassifier,0.7196722030639648,0.14200782775878906
GradientBoostingClassifier,0.7186689376831055,0.13559937477111816
GradientBoostingClassifier,0.7200136184692383,0.1420001983642578
RandomForestClassifier,6.894344329833984,20.60001564025879
GradientBoostingClassifier,0.7207527160644531,0.14307713508605957
GradientBoostingClassifier,0.7212553024291992,0.15346550941467285
GradientBoostingClassifier,0.7222499847412109,0.7077686786651611
GradientBoostingClassifier,0.7233257293701172,1.039283037185669
GradientBoostingClassifier,0.7259588241577148,0.18458080291748047
GradientBoostingClassifier,0.7274494171142578,0.20359420776367188
GradientBoostingClassifier,0.71185302734375,0.19462227821350098
GradientBoostingClassifier,0.7155733108520508,0.16227984428405762
RandomForestClassifier,1.9320354461669922,3.6947805881500244
XGBClassifier,0.7221698760986328,0.045035362243652344
GradientBoostingClassifier,0.7585783004760742,0.19069170951843262
GradientBoostingClassifier,0.7614841461181641,0.14373064041137695
XGBClassifier,0.7472677230834961,0.045007944107055664
XGBClassifier,0.8505010604858398,0.07399892807006836
XGBClassifier,0.8536081314086914,0.058431386947631836
XGBClassifier,0.8540077209472656,0.06008768081665039
XGBClassifier,0.8848552703857422,0.06400012969970703
GradientBoostingClassifier,0.7855710983276367,0.2035810947418213
LogisticRegression,222.8515625,2875
GradientBoostingClassifier,0.6451339721679688,0.22088623046875
NeuralNetwork,364.68359375,3747
LogisticRegression,223.25,2733
GradientBoostingClassifier,0.6454315185546875,0.17931652069091797
LogisticRegression,220.421875,2897
LogisticRegression,223.63671875,2951
LogisticRegression,220.15234375,2817
NeuralNetwork,239.40625,3713
