formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_8
0.0,24.6597,0.0,1.0,21.0,18524.8561,24.0,False
0.0,41.6039,0.0,2.0,5.0,14727.1537,49.0,False
0.0,11.1053,1.0,3.0,16.0,37993.4785,23.0,False
1.0,14.3629,0.0,1.0,11.0,26749.6257,6.0,False
0.0,11.3059,0.0,4.0,7.0,18734.1468,60.0,False
0.0,34.9188,1.0,2.0,16.0,5093.4685,63.0,False
1.0,40.0546,0.0,3.0,1.0,21085.9029,70.0,False
0.0,46.2856,1.0,3.0,11.0,31771.5665,70.0,False
0.0,45.5492,0.0,3.0,11.0,23026.8388,91.0,False
1.0,23.2514,0.0,1.0,9.0,28739.0022,9.0,False
0.0,41.1541,0.0,4.0,17.0,8306.6938,8.0,False
0.0,23.6197,0.0,1.0,8.0,39452.3082,76.0,False
0.0,9.7971,0.0,4.0,6.0,32152.321,66.0,False
1.0,20.3244,0.0,4.0,10.0,6998.4256,86.0,False
0.0,32.0913,0.0,1.0,23.0,28624.5644,17.0,False
0.0,34.6622,0.0,4.0,3.0,26997.1346,4.0,False
1.0,11.7927,1.0,3.0,13.0,7936.1109,5.0,False
1.0,16.2563,0.0,2.0,8.0,22386.7044,12.0,False
0.0,41.9834,0.0,4.0,21.0,34968.8578,99.0,False
0.0,14.0395,0.0,4.0,21.0,28838.7253,81.0,False
1.0,21.0792,0.0,1.0,21.0,18893.207,45.0,False
1.0,20.5683,1.0,3.0,5.0,24970.7302,46.0,False
1.0,49.2929,1.0,4.0,9.0,2339.0295,63.0,False
0.0,13.7366,1.0,2.0,16.0,10355.5807,22.0,False
1.0,39.1574,0.0,2.0,5.0,23524.0011,11.0,False
1.0,13.3464,1.0,1.0,10.0,20760.5921,31.0,False
1.0,31.0257,0.0,3.0,14.0,4047.6338,63.0,False
0.0,26.1234,1.0,1.0,22.0,25131.3124,2.0,False
0.0,21.2935,1.0,1.0,6.0,10757.4303,50.0,False
1.0,26.5542,0.0,3.0,10.0,19643.8964,33.0,False
0.0,35.9112,0.0,3.0,3.0,25507.5097,42.0,False
0.0,26.8358,0.0,1.0,2.0,8489.6573,47.0,False
0.0,31.5462,0.0,4.0,8.0,38524.4538,71.0,False
1.0,42.5183,1.0,3.0,11.0,5971.2697,30.0,False
0.0,38.3879,1.0,2.0,1.0,26558.666,34.0,False
1.0,27.0406,1.0,2.0,16.0,25786.8058,60.0,False
0.0,28.3306,1.0,4.0,9.0,16826.6731,18.0,False
1.0,17.1586,1.0,2.0,14.0,23240.2393,25.0,False
1.0,24.1956,1.0,2.0,17.0,19781.0882,5.0,False
0.0,40.5917,0.0,2.0,22.0,31135.9231,32.0,False
0.0,22.4704,1.0,3.0,19.0,17262.3737,94.0,False
0.0,41.419,1.0,1.0,12.0,12285.3567,46.0,False
1.0,14.328,1.0,1.0,7.0,22897.785,73.0,False
1.0,12.5868,1.0,4.0,11.0,2106.3966,53.0,False
0.0,7.628,1.0,1.0,22.0,29059.5516,43.0,False
1.0,41.5491,0.0,2.0,21.0,5186.8225,25.0,False
1.0,27.3439,1.0,1.0,20.0,6814.4805,73.0,False
0.0,39.4026,1.0,2.0,6.0,19184.9131,8.0,False
1.0,28.244,1.0,4.0,22.0,31967.4427,100.0,False
1.0,46.9436,1.0,2.0,3.0,18336.5898,33.0,False
1.0,7.5601,1.0,4.0,22.0,5227.3711,72.0,False
0.0,27.3888,1.0,1.0,0.0,15594.1536,2.0,False
1.0,30.2716,1.0,4.0,12.0,32957.5691,72.0,False
0.0,22.7349,1.0,4.0,23.0,38330.2672,3.0,False
0.0,9.3299,1.0,2.0,16.0,33539.4708,69.0,False
1.0,32.2178,1.0,1.0,1.0,15334.085,14.0,False
1.0,28.4413,1.0,2.0,14.0,33690.1569,49.0,False
0.0,32.4234,0.0,2.0,13.0,25460.2063,11.0,False
0.0,22.2423,1.0,3.0,0.0,37283.7463,93.0,False
0.0,16.1332,1.0,2.0,19.0,16560.7723,4.0,False
0.0,37.0565,1.0,4.0,7.0,37722.7525,21.0,False
0.0,37.1757,1.0,1.0,6.0,3080.9706,36.0,False
0.0,43.4055,0.0,2.0,15.0,22162.3306,10.0,False
0.0,37.6305,0.0,1.0,13.0,9324.617,60.0,False
0.0,34.0853,1.0,3.0,14.0,29168.9668,75.0,False
0.0,32.3052,0.0,2.0,19.0,17230.1914,92.0,False
0.0,37.5653,1.0,1.0,11.0,5981.4663,41.0,False
1.0,39.6992,1.0,2.0,11.0,9394.4267,34.0,False
0.0,8.6297,1.0,1.0,11.0,4504.0789,60.0,False
0.0,7.6689,1.0,2.0,19.0,31134.0374,56.0,False
0.0,49.4208,1.0,3.0,2.0,30868.2703,84.0,False
1.0,35.3141,1.0,3.0,11.0,5043.6243,92.0,False
1.0,47.9968,1.0,1.0,19.0,13203.0936,61.0,False
1.0,18.2902,1.0,2.0,23.0,6688.934,61.0,False
1.0,45.0407,0.0,1.0,16.0,8523.4719,36.0,False
0.0,24.7596,0.0,4.0,17.0,2035.5259,6.0,False
1.0,10.0435,0.0,1.0,9.0,34968.5023,14.0,False
1.0,48.7263,1.0,1.0,8.0,33109.7911,19.0,False
0.0,27.2782,1.0,4.0,9.0,34813.3711,30.0,False
0.0,22.2514,0.0,3.0,21.0,22758.9344,3.0,False
1.0,26.0491,0.0,2.0,8.0,35982.8878,96.0,False
1.0,45.2051,0.0,2.0,0.0,33238.1228,42.0,False
0.0,27.1939,1.0,2.0,14.0,4541.7434,55.0,False
1.0,12.8932,0.0,1.0,3.0,34556.9257,67.0,False
0.0,32.9509,0.0,2.0,18.0,34861.0191,80.0,False
1.0,28.8989,0.0,4.0,17.0,9258.3361,61.0,False
0.0,34.5952,0.0,2.0,8.0,15103.9159,40.0,False
1.0,17.5001,0.0,1.0,17.0,4577.2264,89.0,False
1.0,42.2704,0.0,3.0,7.0,9505.9972,31.0,False
0.0,30.5978,0.0,4.0,9.0,39382.5966,61.0,False
0.0,40.0238,1.0,1.0,19.0,10214.1278,59.0,False
0.0,23.3403,1.0,2.0,4.0,31644.4261,71.0,False
1.0,43.4307,1.0,2.0,7.0,17667.553,58.0,False
0.0,33.3933,1.0,4.0,22.0,10923.0923,70.0,False
0.0,31.0282,0.0,4.0,13.0,9237.9182,57.0,False
